Name,Bus,Fuel,Max_Cap,Min_Cap,Heat_Rate
ID_10213-10714,254031,NG (Natural Gas),180.1,79.55,8.037
ID_10262-10717,256181,NG (Natural Gas),13.0,5.74,8.037
ID_10288-10719,201361,BIO,9.3,3.19,13.5
ID_10294-10720,261331,NG (Natural Gas),133.2,58.83,8.037
ID_10300-10721,286671,BIO,55.5,19.02,13.5
ID_10342-10722,211211,NG (Natural Gas),113.5,50.13,8.037
ID_10349-10723,201361,NG (Natural Gas),49.5,21.86,8.037
ID_10350-10724,201361,NG (Natural Gas),66.0,29.15,8.037
ID_10387-10725,285491,BIO,5.4,1.85,13.5
ID_10395-10726,280781,BIO,20.0,6.85,13.5
ID_10405-10727,230601,NG (Natural Gas),36.2,15.99,8.037
ID_10427-10728,280991,NG (Natural Gas),34.0,15.02,8.037
ID_10478-10737,252891,NG (Natural Gas),28.3,12.5,8.037
ID_10479-10738,230601,GEO,15.0,1.65,9.54
ID_10480-10739,230601,GEO,10.0,1.1,9.54
ID_10481-10740,230601,GEO,30.0,3.29,9.54
ID_10496-10741,252891,NG (Natural Gas),300.0,132.51,8.037
ID_10501-10742,252891,NG (Natural Gas),39.1,17.27,8.037
ID_10502-10743,211211,BIO,23.0,7.88,13.5
ID_10548-10744,211211,NG (Natural Gas),6.0,2.65,8.037
ID_10600-10960,285491,NG (Natural Gas),3.1,1.37,8.037
ID_10623-10961,255981,NG (Natural Gas),34.5,15.24,8.037
ID_10631-10962,286671,GEO,35.8,3.93,9.54
ID_10632-10963,286671,GEO,35.8,3.93,9.54
ID_10634-10964,286671,GEO,35.8,3.93,9.54
ID_10635-10965,280991,NG (Natural Gas),47.0,20.76,8.037
ID_10648-10966,280991,BIO,5.4,1.85,13.5
ID_10649-10967,252891,NG (Natural Gas),46.0,20.32,8.037
ID_10650-10968,252891,NG (Natural Gas),46.0,20.32,8.037
ID_10652-10969,133661,BIO,31.0,10.62,13.5
ID_10661-10970,300011,BIO,12.0,4.11,13.5
ID_10677-10971,252891,NG (Natural Gas),90.0,39.75,8.037
ID_10684-10972,280991,BIT (Bituminous Coal),62.5,28.22,9.75
ID_10685-10973,280991,NG (Natural Gas),20.0,8.83,8.037
ID_10720-10990,285491,NG (Natural Gas),3.8,1.68,8.037
ID_10748-10991,233771,BIO,5.0,1.71,13.5
ID_10759-10992,286671,GEO,53.9,5.91,9.54
ID_10763-10993,400041,GEO,29.6,3.25,9.54
ID_10764-10994,200001,BIO,13.8,4.73,13.5
ID_10767-10995,230601,BIO,28.0,9.6,13.5
ID_10768-10996,252891,BIT (Bituminous Coal),38.2,17.25,9.75
ID_10776-10997,258301,NG (Natural Gas),48.5,21.42,8.037
ID_10777-10998,300011,BIO,36.2,12.41,13.5
ID_10810-10999,285491,NG (Natural Gas),25.6,11.31,8.037
ID_10811-101000,285491,NG (Natural Gas),55.2,24.38,8.037
ID_10812-101001,285491,NG (Natural Gas),40.3,17.8,8.037
ID_10820-101002,280781,BIO,1.2,0.41,13.5
ID_10836-101003,201361,BIO,28.0,9.6,13.5
ID_10837-101004,230601,BIO,28.0,9.6,13.5
ID_10840-101005,252891,BIO,57.0,19.53,13.5
ID_10873-101006,280991,GEO,92.2,10.11,9.54
ID_10874-101007,280991,GEO,90.0,9.87,9.54
ID_10875-101008,280991,GEO,90.0,9.87,9.54
ID_10878-101009,286671,GEO,10.0,1.1,9.54
ID_10879-101010,286671,GEO,20.0,2.19,9.54
ID_10884-101014,252891,NG (Natural Gas),5.6,2.47,8.037
ID_151-101015,230541,NG (Natural Gas),71.2,31.45,8.037
ID_151-101016,230541,OIL,71.2,25.01,9.96
ID_246-101046,200261,NG (Natural Gas),167.0,73.76,8.037
ID_260-101054,233771,NG (Natural Gas),1398.0,617.5,8.037
ID_260-101055,233771,NG (Natural Gas),1404.0,620.15,8.037
ID_271-101065,216471,NG (Natural Gas),1403.9,620.1,8.037
ID_286-101078,211211,GEO,1273.0,139.65,9.54
ID_301-101089,285491,NG (Natural Gas),18.0,7.95,8.037
ID_302-101090,285491,NG (Natural Gas),18.0,7.95,8.037
ID_302-101091,285491,NG (Natural Gas),981.6,433.57,8.037
ID_303-101092,285491,NG (Natural Gas),72.0,31.8,8.037
ID_305-101093,285491,NG (Natural Gas),49.0,21.64,8.037
ID_315-101095,261001,NG (Natural Gas),1922.0,848.95,8.037
ID_331-101109,280991,NG (Natural Gas),666.0,294.17,8.037
ID_335-101111,261001,NG (Natural Gas),436.0,192.58,8.037
ID_341-101118,261001,NG (Natural Gas),252.0,111.31,8.037
ID_345-101121,258301,NG (Natural Gas),138.0,60.95,8.037
ID_345-101122,258301,NG (Natural Gas),436.0,192.58,8.037
ID_350-101123,258301,NG (Natural Gas),1612.0,712.02,8.037
ID_356-101126,261001,NG (Natural Gas),1316.4,581.45,8.037
ID_358-101128,280991,NG (Natural Gas),1036.8,457.95,8.037
ID_377-101133,256181,BIO,73.0,25.02,13.5
ID_377-101134,256181,NG (Natural Gas),120.5,53.22,8.037
