name,typ,node,maxcap,heat_rate,mincap,var_om,no_load,st_cost,ramp,minup,mindn
ID_10661-10970,biomass,bus_300011,12.0,13.5,4.11,5.41,36.0,144.0,11.19,7.0,7.0
ID_10677-10971,ngcc,bus_252891,90.0,8.037,39.75,3.42,270.0,4320.0,43.79,1.0,3.0
ID_10684-10972,coal,bus_280991,62.5,9.75,28.22,6.95,188.0,8062.0,2.68,12.0,12.0
ID_10685-10973,ngcc,bus_280991,20.0,8.037,8.83,3.42,60.0,960.0,9.73,1.0,3.0
ID_10720-10990,ngcc,bus_285491,3.8,8.037,1.68,3.42,11.0,182.0,1.85,1.0,3.0
ID_10748-10991,biomass,bus_233771,5.0,13.5,1.71,5.41,15.0,60.0,4.66,7.0,7.0
ID_10759-10992,geothermal,bus_286671,53.9,9.54,5.91,0.0,162.0,0.0,9.49,6.0,6.0
ID_10763-10993,geothermal,bus_400041,29.6,9.54,3.25,0.0,89.0,0.0,5.21,6.0,6.0
ID_10764-10994,biomass,bus_200001,13.8,13.5,4.73,5.41,41.0,166.0,12.87,7.0,7.0
ID_10767-10995,biomass,bus_230601,28.0,13.5,9.6,5.41,84.0,336.0,26.11,7.0,7.0
ID_10768-10996,coal,bus_252891,38.2,9.75,17.25,6.95,115.0,4928.0,1.63,12.0,12.0
ID_10776-10997,ngcc,bus_258301,48.5,8.037,21.42,3.42,146.0,2328.0,23.6,1.0,3.0
ID_10777-10998,biomass,bus_300011,36.2,13.5,12.41,5.41,109.0,434.0,33.76,7.0,7.0
ID_10810-10999,ngcc,bus_285491,25.6,8.037,11.31,3.42,77.0,1229.0,12.46,1.0,3.0
ID_10811-101000,ngcc,bus_285491,55.2,8.037,24.38,3.42,166.0,2650.0,26.86,1.0,3.0
ID_10812-101001,ngcc,bus_285491,40.3,8.037,17.8,3.42,121.0,1934.0,19.61,1.0,3.0
ID_10820-101002,biomass,bus_280781,1.2,13.5,0.41,5.41,4.0,14.0,1.12,7.0,7.0
ID_10836-101003,biomass,bus_201361,28.0,13.5,9.6,5.41,84.0,336.0,26.11,7.0,7.0
ID_10837-101004,biomass,bus_230601,28.0,13.5,9.6,5.41,84.0,336.0,26.11,7.0,7.0
ID_10840-101005,biomass,bus_252891,57.0,13.5,19.53,5.41,171.0,684.0,53.16,7.0,7.0
ID_10873-101006,geothermal,bus_280991,92.2,9.54,10.11,0.0,277.0,0.0,16.23,6.0,6.0
ID_10874-101007,geothermal,bus_280991,90.0,9.54,9.87,0.0,270.0,0.0,15.84,6.0,6.0
ID_10875-101008,geothermal,bus_280991,90.0,9.54,9.87,0.0,270.0,0.0,15.84,6.0,6.0
ID_10878-101009,geothermal,bus_286671,10.0,9.54,1.1,0.0,30.0,0.0,1.76,6.0,6.0
ID_10879-101010,geothermal,bus_286671,20.0,9.54,2.19,0.0,60.0,0.0,3.52,6.0,6.0
ID_10884-101014,ngcc,bus_252891,5.6,8.037,2.47,3.42,17.0,269.0,2.72,1.0,3.0
ID_151-101015,ngcc,bus_230541,71.2,8.037,31.45,3.42,214.0,3418.0,34.65,1.0,3.0
ID_151-101016,oil,bus_230541,71.2,9.96,25.01,3.42,214.0,2136.0,44.18,1.0,1.0
ID_246-101046,ngcc,bus_200261,167.0,8.037,73.76,3.42,501.0,8016.0,81.26,1.0,3.0
ID_260-101054,ngcc,bus_233771,1398.0,8.037,617.5,3.42,4194.0,67104.0,680.27,1.0,3.0
ID_260-101055,ngcc,bus_233771,1404.0,8.037,620.15,3.42,4212.0,67392.0,683.19,1.0,3.0
ID_271-101065,ngcc,bus_216471,1403.9,8.037,620.1,3.42,4212.0,67387.0,683.14,1.0,3.0
ID_286-101078,geothermal,bus_211211,1273.0,9.54,139.65,0.0,3819.0,0.0,224.05,6.0,6.0
ID_301-101089,ngcc,bus_285491,18.0,8.037,7.95,3.42,54.0,864.0,8.76,1.0,3.0
ID_302-101090,ngcc,bus_285491,18.0,8.037,7.95,3.42,54.0,864.0,8.76,1.0,3.0
ID_302-101091,ngcc,bus_285491,981.6,8.037,433.57,3.42,2945.0,47117.0,477.65,1.0,3.0
ID_303-101092,ngcc,bus_285491,72.0,8.037,31.8,3.42,216.0,3456.0,35.04,1.0,3.0
ID_305-101093,ngcc,bus_285491,49.0,8.037,21.64,3.42,147.0,2352.0,23.84,1.0,3.0
ID_315-101095,ngcc,bus_261001,1922.0,8.037,848.95,3.42,5766.0,92256.0,935.25,1.0,3.0
ID_331-101109,ngcc,bus_280991,666.0,8.037,294.17,3.42,1998.0,31968.0,324.08,1.0,3.0
ID_335-101111,ngcc,bus_261001,436.0,8.037,192.58,3.42,1308.0,20928.0,212.16,1.0,3.0
ID_341-101118,ngcc,bus_261001,252.0,8.037,111.31,3.42,756.0,12096.0,122.62,1.0,3.0
ID_345-101121,ngcc,bus_258301,138.0,8.037,60.95,3.42,414.0,6624.0,67.15,1.0,3.0
